shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
51_R2S,41.1856559,1.5229805,1
51_R2S,41.1859041,1.5247299,2
51_R2S,41.1881511,1.5413871,3
51_R2S,41.1882743,1.5423607,4
51_R2S,41.1883478,1.5430939,5
51_R2S,41.1884186,1.544124,6
51_R2S,41.1885402,1.5465572,7
51_R2S,41.1886031,1.5485627,8
51_R2S,41.1885255,1.56255,9
51_R2S,41.1885588,1.5645783,10
51_R2S,41.1886569,1.5664019,11
51_R2S,41.189032,1.5705539,12
51_R2S,41.1925096,1.607503,13
51_R2S,41.1943064,1.6267591,14
51_R2S,41.1947944,1.6319124,15
51_R2S,41.1949277,1.6331261,16
51_R2S,41.1950835,1.6342817,17
51_R2S,41.1952382,1.635238,18
51_R2S,41.1954166,1.6362238,19
51_R2S,41.1956268,1.6372469,20
51_R2S,41.2066439,1.6874832,21
51_R2S,41.2073516,1.6907248,22
51_R2S,41.2076482,1.6922044,23
51_R2S,41.2078525,1.6934319,24
51_R2S,41.2080276,1.6947626,25
51_R2S,41.2081497,1.6960346,26
51_R2S,41.2082302,1.6973444,27
51_R2S,41.2082604,1.6983773,28
51_R2S,41.2082644,1.6996859,29
51_R2S,41.2081648,1.7042553,30
51_R2S,41.2081608,1.7050743,31
51_R2S,41.2082083,1.7059254,32
51_R2S,41.2083341,1.7067898,33
51_R2S,41.2085363,1.7076013,34
51_R2S,41.2087274,1.7081613,35
51_R2S,41.2090036,1.7087918,36
51_R2S,41.2093367,1.7094082,37
51_R2S,41.2098359,1.7102078,38
51_R2S,41.2161248,1.7199322,39
51_R2S,41.2167856,1.7210243,40
51_R2S,41.2172788,1.7219373,41
51_R2S,41.2175056,1.722411,42
51_R2S,41.2177032,1.7228743,43
51_R2S,41.2179198,1.723463,44
51_R2S,41.2180825,1.7239706,45
51_R2S,41.2191806,1.7278172,46
51_R2S,41.2196551,1.7296081,47
51_R2S,41.2198059,1.7302405,48
51_R2S,41.2199917,1.7312776,49
51_R2S,41.2200776,1.7321562,50
51_R2S,41.2200979,1.733161,51
51_R2S,41.2200474,1.7340834,52
51_R2S,41.2199646,1.7347821,53
51_R2S,41.2198591,1.7354019,54
51_R2S,41.2189557,1.7396742,55
51_R2S,41.2187423,1.7409127,56
51_R2S,41.2186353,1.7419004,57
51_R2S,41.2185913,1.7426946,58
51_R2S,41.2185902,1.7435933,59
51_R2S,41.2186315,1.7443989,60
51_R2S,41.2187082,1.7451194,61
51_R2S,41.2188641,1.7461493,62
51_R2S,41.2197627,1.7512502,63
51_R2S,41.2199019,1.7522182,64
51_R2S,41.2199955,1.7531464,65
51_R2S,41.2200309,1.7539249,66
51_R2S,41.2200259,1.7547214,67
51_R2S,41.2199847,1.7556799,68
51_R2S,41.2198412,1.7579469,69
51_R2S,41.2198079,1.7590248,70
51_R2S,41.2198115,1.7595081,71
51_R2S,41.2198413,1.7601715,72
51_R2S,41.2199547,1.7612467,73
51_R2S,41.2201596,1.7625011,74
51_R2S,41.2202998,1.7631784,75
51_R2S,41.2204996,1.7640306,76
51_R2S,41.2218106,1.7692562,77
51_R2S,41.2221481,1.7704937,78
51_R2S,41.2225503,1.771824,79
51_R2S,41.2228182,1.7725627,80
51_R2S,41.2231336,1.7732758,81
51_R2S,41.2234358,1.7738542,82
51_R2S,41.2238627,1.7745908,83
51_R2S,41.225527,1.7772829,84
51_R2S,41.2338,1.7903293,85
51_R2S,41.2344258,1.7913761,86
51_R2S,41.2347971,1.7920677,87
51_R2S,41.2351402,1.7927815,88
51_R2S,41.2356278,1.7939298,89
51_R2S,41.238333,1.8008599,90
51_R2S,41.2386467,1.8017543,91
51_R2S,41.2389104,1.8025864,92
51_R2S,41.2391349,1.8034841,93
51_R2S,41.239265,1.8042429,94
51_R2S,41.2393461,1.8049652,95
51_R2S,41.2393921,1.8056411,96
51_R2S,41.2394197,1.806369,97
51_R2S,41.2394194,1.8070082,98
51_R2S,41.2393966,1.8077445,99
51_R2S,41.2393413,1.8085798,100
51_R2S,41.2392035,1.8097262,101
51_R2S,41.2390909,1.8104315,102
51_R2S,41.2389451,1.8112109,103
51_R2S,41.2375901,1.8177131,104
51_R2S,41.2374801,1.8183461,105
51_R2S,41.2374067,1.8190729,106
51_R2S,41.237388,1.8196619,107
51_R2S,41.2374035,1.8203129,108
51_R2S,41.2377299,1.8259285,109
51_R2S,41.2377295,1.8267431,110
51_R2S,41.2376734,1.8274537,111
51_R2S,41.2375971,1.8279501,112
51_R2S,41.2374354,1.8286728,113
51_R2S,41.237133,1.8297145,114
51_R2S,41.2366494,1.8312771,115
51_R2S,41.236367,1.832479,116
51_R2S,41.2362246,1.833003,117
51_R2S,41.2361346,1.8338995,118
51_R2S,41.2360675,1.8352849,119
51_R2S,41.2361041,1.836055,120
51_R2S,41.2359815,1.8423322,121
51_R2S,41.2359875,1.8426147,122
51_R2S,41.2351969,1.8501392,123
51_R2S,41.2359165,1.8550835,124
51_R2S,41.2360891,1.8554248,125
51_R2S,41.2391227,1.8590215,126
51_R2S,41.2395578,1.8595879,127
51_R2S,41.2400038,1.8602377,128
51_R2S,41.2403404,1.8608416,129
51_R2S,41.2406368,1.8614868,130
51_R2S,41.2413285,1.8631907,131
