trip_id,arrival_time,departure_time,stop_id,stop_sequence                                                                                             
1065J19799C1,05:16:00,05:16:00,18000,001                                                                                                              
1065J19799C1,05:18:00,05:18:00,18001,002                                                                                                              
1065J19799C1,05:22:00,05:22:00,18002,003                                                                                                              
1065J19799C1,05:29:00,05:30:00,17000,004                                                                                                              
1065J19799C1,05:34:00,05:34:00,98003,005                                                                                                              
1065J19799C1,05:40:00,05:40:00,98304,006                                                                                                              
1065J19799C1,05:45:00,05:45:00,98305,007                                                                                                              
5165J25478R2S,21:30:00,21:30:00,71600,001                                                                                                             
5165J25478R2S,21:35:00,21:35:00,71601,002                                                                                                             
5165J25478R2S,21:38:00,21:38:00,71602,003                                                                                                             
5165J25478R2S,21:41:00,21:41:00,71603,004                                                                                                             
5165J25478R2S,21:45:00,21:45:00,71604,005                                                                                                             
5165J25478R2S,21:49:00,21:50:00,71700,006                                                                                                             
5165J25478R2S,21:56:00,21:57:00,71701,007                                                                                                             
5165J25478R2S,22:12:00,22:13:00,71705,008                                                                                                             
5165J25478R2S,22:16:00,22:17:00,71706,009                                                                                                             
5165J25478R2S,22:19:00,22:19:00,71709,010                                                                                                             
5165J25478R2S,22:34:00,22:36:00,71801,011                                                                                                             
5165J25478R2S,22:40:00,22:41:00,71802,012                                                                                                             
5165J25478R2S,22:51:00,22:51:00,79400,013                                                                                                             
5165J77801R7,06:26:00,06:26:00,78800,001                                                                                                              
5165J77801R7,06:29:00,06:29:00,78708,002                                                                                                              
5165J77801R7,06:32:00,06:32:00,78707,003                                                                                                              
5165J77801R7,06:34:00,06:35:00,78706,004                                                                                                              
5165J77801R7,06:40:00,06:40:00,72503,005                                                                                                              
5165J87316R3,06:00:00,06:00:00,77102,001                                                                                                              
5165J87316R3,06:42:00,06:42:00,78802,002                                                                                                              
