shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1.11.1100.1,41.4499,2.1832,1
1.11.1100.1,41.45119,2.184737,2
1.11.1100.1,41.451278,2.18484,3
1.11.1100.1,41.451278,2.18484,4
1.11.1100.1,41.451354,2.184922,5
1.11.1100.1,41.451435,2.185003,6
1.11.1100.1,41.451573,2.185119,7
1.11.1100.1,41.451718,2.185219,8
1.11.1100.1,41.451869,2.185301,9
1.11.1100.1,41.452025,2.185366,10
1.11.1100.1,41.452185,2.185411,11
1.11.1100.1,41.452347,2.185438,12
1.11.1100.1,41.45251,2.185446,13
1.11.1100.1,41.452674,2.185434,14
1.11.1100.1,41.452835,2.185403,15
1.11.1100.1,41.452994,2.185353,16
1.11.1100.1,41.45309,2.185314,17
1.11.1100.1,41.453192,2.185264,18
1.11.1100.1,41.453291,2.185208,19
1.11.1100.1,41.453414,2.185133,20
1.11.1100.1,41.454514,2.184432,21
1.11.1100.1,41.454646,2.18435,22
1.11.1100.1,41.454847,2.184237,23
1.11.1100.1,41.455086,2.184121,24
1.11.1100.1,41.45533,2.184023,25
1.11.1100.1,41.455578,2.183944,26
1.11.1100.1,41.455829,2.183884,27
1.11.1100.1,41.456082,2.183842,28
1.11.1100.1,41.456336,2.18382,29
1.11.1100.1,41.456428,2.183816,30
1.11.1100.1,41.456563,2.183815,31
1.11.1100.1,41.457409,2.183819,32
1.11.1100.1,41.457571,2.183812,33
1.11.1100.1,41.457643,2.183805,34
1.11.1100.1,41.457706,2.183797,35
1.11.1100.1,41.457756,2.183789,36
1.11.1100.1,41.457843,2.183769,37
1.11.1100.1,41.458,2.18372,38
1.11.1100.1,41.458153,2.183651,39
1.11.1100.1,41.458301,2.183565,40
1.11.1100.1,41.458443,2.183461,41
1.11.1100.1,41.458577,2.183341,42
1.11.1100.1,41.458702,2.183206,43
1.11.1100.1,41.458818,2.183056,44
1.11.1100.1,41.458923,2.182893,45
1.11.1100.1,41.459017,2.182718,46
1.11.1100.1,41.459098,2.182532,47
1.11.1100.1,41.459167,2.182338,48
1.11.1100.1,41.459223,2.182136,49
1.11.1100.1,41.459264,2.181928,50
1.11.1100.1,41.459288,2.181754,51
1.11.1100.1,41.459297,2.181647,52
1.11.1100.1,41.459303,2.181551,53
1.11.1100.1,41.459305,2.1815,54
1.11.1100.1,41.459307,2.181352,55
1.11.1100.1,41.459302,2.181186,56
1.11.1100.1,41.45929,2.180996,57
1.11.1100.1,41.459196,2.179884,58
1.11.1100.1,41.459196,2.179884,59
1.11.1100.1,41.459044,2.178109,60
1.11.1100.1,41.45903,2.177894,61
1.11.1100.1,41.459024,2.177715,62
1.11.1100.1,41.459024,2.177579,63
1.11.1100.1,41.459037,2.177365,64
1.11.1100.1,41.459065,2.177153,65
1.11.1100.1,41.459106,2.176945,66
1.11.1100.1,41.459162,2.176744,67
1.11.1100.1,41.45923,2.176549,68
1.11.1100.1,41.459312,2.176364,69
1.11.1100.1,41.459406,2.176189,70
1.11.1100.1,41.459511,2.176025,71
1.11.1100.1,41.459579,2.175934,72
1.11.1100.1,41.459631,2.175869,73
