trip_id,arrival_time,departure_time,stop_id,stop_sequence
1.11.11648896,05:10:50,05:10:50,1.1136,1
1.11.11648896,05:11:35,05:12:03,1.1137,2
1.11.11648896,05:13:58,05:14:26,1.1138,3
1.11.11648896,05:15:31,05:15:59,1.1139,4
1.11.11648896,05:16:48,05:16:48,1.1140,5
1.79.1,00:00:00,00:00:00,1.9901,1
1.79.1,00:02:00,00:02:00,1.9902,2
1.79.2,00:00:00,00:00:00,1.9902,1
1.79.2,00:02:00,00:02:00,1.9901,2
1.80.1,00:00:00,00:00:00,1.9901,1
1.80.1,00:02:00,00:02:00,1.9902,2
1.80.2,00:00:00,00:00:00,1.9902,1
1.80.2,00:02:00,00:02:00,1.9901,2
2.13.58.3102317.2833,15:43:00,15:43:00,2.3567.697096,1
2.13.58.3102317.2833,,,2.1370.683093,2
2.13.58.3102317.2833,,,2.1255.690665,3
2.13.58.3102317.2833,15:48:00,15:48:00,2.776.685684,4
2.13.58.3102317.2833,,,2.1369.692808,5
2.13.58.3102317.2833,,,2.264.674565,6
2.13.58.3102317.2833,,,2.265.679658,7
2.13.58.3102317.2833,,,2.1563.685493,8
2.13.58.3102317.2833,,,2.1564.674569,9
2.13.58.3102317.2833,15:58:00,15:58:00,2.1565.676748,10
2.13.58.3102317.2833,,,2.2255.676250,11
2.13.58.3102317.2833,,,2.1954.676002,12
2.13.58.3102317.2833,,,2.1912.684268,13
2.13.58.3102317.2833,,,2.1914.675960,14
2.13.58.3102317.2833,16:07:00,16:07:00,2.3250.700181,15
2.13.58.3102317.2833,,,2.2564.676569,16
2.13.58.3102317.2833,,,2.2565.676568,17
2.13.58.3102317.2833,,,2.2566.676567,18
2.13.58.3102317.2833,,,2.3251.688183,19
2.13.58.3102317.2833,16:13:00,16:13:00,2.3253.688185,20
