stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
1.9901,9901,"Paral·lel",41.373847,2.168853,,0,P.6660210,1
P.6660210,6660210,"Paral·lel",41.373847,2.168853,,1,,
1.1136,1136,"Trinitat Nova",41.4499,2.1832,,0,P.6660339,1
P.6660339,6660339,"Trinitat Nova",41.4495,2.184097,,1,,
1.1137,1137,"Casa de l'Aigua",41.451278,2.18484,,0,P.6661137,1
P.6661137,6661137,"Casa de l'Aigua",41.451278,2.18484,,1,,
1.1138,1138,"Torre Baró | Vallbona",41.459196,2.179884,,0,P.6661138,1
P.6661138,6661138,"Torre Baró | Vallbona",41.459196,2.179884,,1,,
1.1139,1139,"Ciutat Meridiana",41.460808,2.17465,,0,P.6661139,1
P.6661139,6661139,"Ciutat Meridiana",41.460808,2.17465,,1,,
1.1140,1140,"Can Cuiàs",41.462413,2.173059,,0,P.6661140,1
P.6661140,6661140,"Can Cuiàs",41.462413,2.173059,,1,,
1.9902,9902,"Parc de Montjuïc",41.368956,2.163269,,0,P.6669902,1
P.6669902,6669902,"Parc de Montjuïc",41.368956,2.163269,,1,,
2.264.674565,264,"Av Ferrer i Guàrdia - Mèxic",41.371168,2.149875,,0,,0
2.265.679658,265,"Poble Espanyol",41.369413,2.146283,,0,,0
2.776.685684,776,"Sepúlveda - Av Mistral",41.375683,2.152409,,0,,0
2.1255.690665,1255,"Sepúlveda - Rocafort",41.377377,2.15467,,0,,0
2.1369.692808,1369,"Lleida - Av Paral·lel",41.374508,2.154201,,0,,1
2.1370.683093,1370,"Calàbria - Av Mistral",41.377237,2.158372,,0,,0
2.1563.685493,1563,"Camí del Polvorí - Estadi Serrahima",41.366194,2.144103,,0,,0
2.1564.674569,1564,"Segura - Estadi Serrahima",41.36434,2.14351,,0,,0
2.1565.676748,1565,"Segura - Barri del Polvorí",41.365457,2.141489,,0,,0
2.1912.684268,1912,"Mare de Déu de Port - Foneria",41.360594,2.14033,,0,,0
2.1914.675960,1914,"Foc - Mare de Déu de Port",41.358417,2.144037,,0,,0
2.1954.676002,1954,"Segura - Anoia",41.362561,2.140537,,0,,0
2.2255.676250,2255,"Segura - Escales del Polvorí",41.363737,2.140599,,0,,0
2.2564.676569,2564,"Sot del Migdia",41.359883,2.150627,,0,,0
2.2565.676568,2565,"Pg Olímpic - Palau Sant Jordi",41.361808,2.15387,,0,,0
2.2566.676567,2566,"Jardí Botànic",41.362746,2.156699,,0,,0
2.3250.700181,3250,"Pedrera del Mussol - Can Clos",41.361485,2.147927,,0,,0
2.3251.688183,3251,"Pg Olímpic - Av de l'Estadi",41.365718,2.157295,,0,,0
2.3253.688185,3253,"Vivers - Final de trajecte",41.366473,2.158018,,0,,0
2.3567.697096,3567,"Manso - Viladomat - Final de trajecte",41.376354,2.160075,,0,,0
