shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1,41.3922166,2.1431375,1,0.000
1,41.3920697,2.1425639,2,50.653
1,41.3920201,2.1423667,3,68.044
1,41.3920061,2.1423186,4,72.352
1,41.3919699,2.1421972,5,83.264
1,41.3919472,2.1421224,6,90.007
1,41.3919227,2.1420390,7,97.492
1,41.3918953,2.1419431,8,106.068
1,41.3918749,2.1418668,9,112.841
1,41.3918515,2.1417742,10,121.007
1,41.3918416,2.1417366,11,124.333
1,41.3917034,2.1411920,12,172.384
1,41.3916390,2.1409391,13,194.706
1,41.3915036,2.1404067,14,241.688
1,41.3914239,2.1400877,15,269.784
1,41.3913272,2.1397005,16,303.894
1,41.3912074,2.1392370,17,344.863
1,41.3910750,2.1387248,18,390.137
1,41.3909896,2.1383869,19,419.941
1,41.3909360,2.1381746,20,438.661
1,41.3907722,2.1375365,21,495.020
1,41.3906967,2.1372423,22,521.014
1,41.3905542,2.1366865,23,570.099
1,41.3905133,2.1365270,24,584.186
1,41.3903737,2.1359826,25,632.271
1,41.3903364,2.1358364,26,645.178
1,41.3901192,2.1349860,27,720.257
1,41.3899021,2.1341355,28,795.337
1,41.3898690,2.1340061,29,806.765
1,41.3896863,2.1332845,30,870.418
1,41.3896597,2.1331796,31,879.669
1,41.3894712,2.1324331,32,945.498
1,41.3894199,2.1322297,33,963.435
1,41.3893538,2.1319674,34,986.562
1,41.3892568,2.1315815,35,1020.580
1,41.3892352,2.1314957,36,1028.142
1,41.3890408,2.1307305,37,1095.661
1,41.3888246,2.1298797,38,1170.742
1,41.3888156,2.1298443,39,1173.860
1,41.3886098,2.1290282,40,1245.824
1,41.3885889,2.1289455,41,1253.115
1,41.3884512,2.1284013,42,1301.118
1,41.3883942,2.1281771,43,1320.906
1,41.3882260,2.1275158,44,1379.258
1,41.3881783,2.1273260,45,1395.989
1,41.3880466,2.1268018,46,1442.197
1,41.3879714,2.1265046,47,1468.408
1,41.3879637,2.1264745,48,1471.072
1,41.3877483,2.1256232,49,1546.154
1,41.3876752,2.1253346,50,1571.615
1,41.3875331,2.1247719,51,1621.238
1,41.3873540,2.1240638,52,1683.697
1,41.3873084,2.1238834,53,1699.610
1,41.3872658,2.1237150,54,1714.462
1,41.3871375,2.1232130,55,1758.780
1,41.3870826,2.1229978,56,1777.783
1,41.3869197,2.1223629,57,1833.863
1,41.3868771,2.1221970,58,1848.521
1,41.3867274,2.1216095,59,1900.376
1,41.3867026,2.1215124,60,1908.947
1,41.3866231,2.1212005,61,1936.481
1,41.3864862,2.1206617,62,1984.031
1,41.3863965,2.1203088,63,2015.173
1,41.3862710,2.1198104,64,2059.116
1,41.3861520,2.1193381,65,2100.758
1,41.3860557,2.1189591,66,2134.201
1,41.3859323,2.1184732,67,2177.076
1,41.3858396,2.1181082,68,2209.286
1,41.3858360,2.1180941,69,2210.532
1,41.3856235,2.1172573,70,2284.371
1,41.3855418,2.1169355,71,2312.767
1,41.3854302,2.1164923,72,2351.838
1,41.3854083,2.1164060,73,2359.457
1,41.3851924,2.1155550,74,2434.542
1,41.3851189,2.1152604,75,2460.493
1,41.3850097,2.1148352,76,2498.048
1,41.3849538,2.1146127,77,2517.665
1,41.3849434,2.1145742,78,2521.087
1,41.3849251,2.1145235,79,2525.785
1,41.3849048,2.1144718,80,2530.656
1,41.3848832,2.1144341,81,2534.621
1,41.3848772,2.1144260,82,2535.569
1,41.3848618,2.1144052,83,2538.009
1,41.3848398,2.1143815,84,2541.156
1,41.3848158,2.1143566,85,2544.542
1,41.3847711,2.1143261,86,2550.121
1,41.3847229,2.1143076,87,2555.691
1,41.3846876,2.1143011,88,2559.644
1,41.3846489,2.1143000,89,2563.946
1,41.3846143,2.1143065,90,2567.828
1,41.3845505,2.1143310,91,2575.193
1,41.3845269,2.1143406,92,2577.941
1,41.3842736,2.1144543,93,2607.623
1,41.3842496,2.1144651,94,2610.436
1,41.3840686,2.1145463,95,2631.645
1,41.3839554,2.1145948,96,2644.851
1,41.3836843,2.1147180,97,2676.667
1,41.3836106,2.1147509,98,2685.296
