trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,timepoint
2555_0194,04:56:00,04:56:00,1001,1,0.0,1
2555_0194,04:58:00,04:58:10,1002,2,584.186,1
2555_0194,04:59:30,04:59:40,1003,3,986.562,1
2555_0194,05:01:00,05:01:10,1004,4,1468.408,1
2555_0194,05:03:00,05:03:10,1005,5,1900.376,1
2555_0194,05:04:00,05:04:10,1008,6,2177.076,1
2555_0194,05:05:30,05:05:40,1009,7,2607.623,1
2555_0194,05:07:00,05:07:10,1010,8,3020.337,1
2555_0194,05:09:00,05:09:10,1011,9,3590.68,1
2555_0194,05:11:00,05:11:10,1012,10,4044.9,1
2555_0194,05:12:00,05:12:10,1013,11,4676.701,1
2555_0194,05:13:30,05:13:40,1213,12,5086.717,1
2555_0194,05:15:00,05:15:10,1014,13,5512.117,1
2555_0194,05:16:30,05:16:40,1015,14,6109.55,1
2555_0194,05:18:00,05:18:10,1016,15,6541.072,1
2555_0194,05:20:00,05:20:10,1017,16,7140.129,1
2555_0194,05:21:30,05:21:40,1018,17,7703.277,1
2555_0194,05:23:00,05:23:10,1019,18,8154.112,1
2555_0194,05:25:00,05:25:10,1020,19,8560.87,1
2555_0194,05:26:30,05:26:40,1021,20,9081.116,1
2555_0194,05:28:00,05:28:10,1022,21,9681.989,1
2555_0194,05:29:30,05:29:40,1025,22,10173.411,1
2555_0194,05:31:30,05:31:40,1026,23,10877.887,1
2555_0194,05:33:00,05:33:00,1127,24,11384.163,1
