stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,platform_code
ST-172,172,"Francesc Macià","FRMC",41.3922223,2.1431350,1,,
ST-173,173,"L'Illa","ILLA",41.3905240,2.1365222,1,,
ST-174,174,"Numància","NMNC",41.3893676,2.1319613,1,,
ST-175,175,"Maria Cristina","MRCR",41.3879856,2.1264983,1,,
ST-176,176,"Pius XII","PIUS",41.3867401,2.1216038,1,,
ST-177,177,"Palau Reial","PLRL",41.3859439,2.1184680,1,,
ST-178,178,"Z.Universitària","UNIV",41.3842623,2.1144099,1,,
ST-179,179,"Avinguda de Xile","XILE",41.3807568,2.1147965,1,,
ST-180,180,"Ernest Lluch","LLUC",41.3766917,2.1107688,1,,
ST-181,181,"Can Rigal","RIGL",41.3761001,2.1059375,1,,
ST-182,182,"Ca n'Oliveres","OLIV",41.3766253,2.0984151,1,,
ST-183,183,"Can Clota","CLOT",41.3769666,2.0935333,1,,
ST-186,186,"Pont d'Esplugues","PTSP",41.3768574,2.0886101,1,,
ST-187,187,"La Sardana","SRDN",41.3727940,2.0839786,1,,
ST-188,188,"Montesa","MNTS",41.3696737,2.0809029,1,,
ST-189,189,"El Pedró","PDRO",41.3653375,2.0766601,1,,
ST-190,190,"Ignasi Iglésias","IIGL",41.3612560,2.0726635,1,,
ST-191,191,"Cornellà Centre","CNLL",41.3576808,2.0701988,1,,
ST-192,192,"Les Aigües","AIGU",41.3566671,2.0660992,1,,
ST-193,193,"Fontsanta|Fatjó","FTJO",41.3603372,2.0622411,1,,
ST-194,194,"Bon Viatge","BVIA",41.3646981,2.0589095,1,,
ST-195,195,"La Fontsanta","FSTA",41.3677670,2.0629661,1,,
ST-196,196,"Centre Miquel Martí i Pol","CTMP",41.3686226,2.0712016,1,,
ST-230,230,"Llevant-L.Planes","LLEV",41.3710192,2.0761835,1,,
1016,A_MNTS,"Montesa","A_MNTS",41.3696737,2.0809029,0,ST-188,A
1015,A_SRDN,"La Sardana","A_SRDN",41.3727940,2.0839786,0,ST-187,A
1014,A_PTSP,"Pont d'Esplugues","A_PTSP",41.3768574,2.0886101,0,ST-186,A
1213,A_CLOT,"Can Clota","A_CLOT",41.3769666,2.0935333,0,ST-183,A
1013,A_OLIV,"Ca n'Oliveres","A_OLIV",41.3766253,2.0984151,0,ST-182,A
1012,A_RIGL,"Can Rigal","A_RIGL",41.3761001,2.1059375,0,ST-181,A
1011,A_LLUC,"Ernest Lluch","A_LLUC",41.3766917,2.1107688,0,ST-180,A
1010,A_XILE,"Avinguda de Xile","A_XILE",41.3807568,2.1147965,0,ST-179,A
1009,A_UNIV,"Z.Universitària","A_UNIV",41.3842623,2.1144099,0,ST-178,A
1008,A_PLRL,"Palau Reial","A_PLRL",41.3859439,2.1184680,0,ST-177,A
1005,A_PIUS,"Pius XII","A_PIUS",41.3867401,2.1216038,0,ST-176,A
1004,A_MRCR,"Maria Cristina","A_MRCR",41.3879856,2.1264983,0,ST-175,A
1003,A_NMNC,"Numància","A_NMNC",41.3893676,2.1319613,0,ST-174,A
1002,A_ILLA,"L'Illa","A_ILLA",41.3905240,2.1365222,0,ST-173,A
1001,A_FRMC,"Francesc Macià","A_FRMC",41.3922223,2.1431350,0,ST-172,A
1017,A_PDRO,"El Pedró","A_PDRO",41.3653375,2.0766601,0,ST-189,A
1018,A_IIGL,"Ignasi Iglésias","A_IIGL",41.3612560,2.0726635,0,ST-190,A
1019,A_CNLL,"Cornellà Centre","A_CNLL",41.3576808,2.0701988,0,ST-191,A
1020,A_AIGU,"Les Aigües","A_AIGU",41.3566671,2.0660992,0,ST-192,A
1021,A_FTJO,"Fontsanta|Fatjó","A_FTJO",41.3603372,2.0622411,0,ST-193,A
1022,A_BVIA,"Bon Viatge","A_BVIA",41.3646981,2.0589095,0,ST-194,A
1025,A_FSTA,"La Fontsanta","A_FSTA",41.3677670,2.0629661,0,ST-195,A
1026,A_CTMP,"Centre Miquel Martí i Pol","A_CTMP",41.3686226,2.0712016,0,ST-196,A
1127,T_LLEV,"Llevant-L.Planes","T_LLEV",41.3710192,2.0761835,0,ST-230,A/T
